--insert vets data

INSERT ALL
INTO vets VALUES (1001, 'Emma', 'Thompson', '437-123-1234', 'emma.thompson@vetclinic.com', 'Happy Paws Clinic', 'General Surgery')
INTO vets VALUES (1002, 'Liam', 'Smith', '437-123-5678', 'liam.smith@vetclinic.com', 'Healthy Pets Clinic', null)
INTO vets VALUES (1003, 'Olivia', 'Johnson', '437-123-8765', 'olivia.johnson@vetclinic.com', 'Pet Wellness Clinic', 'Dermatology')
INTO vets VALUES (1004, 'Noah', 'Williams', '437-123-4321', 'noah.williams@vetclinic.com', 'Animal Care Clinic', 'Ophthalmology')
INTO vets VALUES (1005, 'Ava', 'Brown', '437-123-6789', 'ava.brown@vetclinic.com', 'Companion Animal Clinic', 'Cardiology')
INTO vets VALUES (1006, 'Elijah', 'Jones', '437-123-8769', 'elijah.jones@vetclinic.com', 'Pet Health Clinic', 'Orthopedics')
INTO vets VALUES (1007, 'Isabella', 'Garcia', '437-123-0987', 'isabella.garcia@vetclinic.com', 'VetCare Clinic', null)
INTO vets VALUES (1008, 'James', 'Martinez', '437-123-6780', 'james.martinez@vetclinic.com', null, null)
INTO vets VALUES (1009, 'Sophia', 'Rodriguez', '437-123-1235', 'sophia.rodriguez@vetclinic.com', 'Happy Tails Clinic', 'General Surgery')
INTO vets VALUES (1010, 'Benjamin', 'Lee', '416-123-5679', 'benjamin.lee@vetclinic.com', 'Pet Wellness Center', 'Oncology')
INTO vets VALUES (1011, 'Charlotte', 'Clark', '416-123-3456', 'charlotte.clark@vetclinic.com', 'Animal Wellness Clinic', null)
INTO vets VALUES (1012, 'Amelia', 'Lewis', '416-123-7890', 'amelia.lewis@vetclinic.com', 'City Pet Clinic', 'Surgery')
INTO vets VALUES (1013, 'Mia', 'Walker', '416-123-2345', 'mia.walker@vetclinic.com', 'Suburban Vet Clinic', 'Radiology')
INTO vets VALUES (1014, 'Lucas', 'Hall', '416-123-6781', 'lucas.hall@vetclinic.com', null, null)
INTO vets VALUES (1015, 'Harper', 'Allen', '416-123-8901', 'harper.allen@vetclinic.com', 'Pet Paradise Clinic', null)
INTO vets VALUES (1016, 'Evelyn', 'Young', '416-123-6782', 'evelyn.young@vetclinic.com', 'Urban Pet Clinic', null)
INTO vets VALUES (1017, 'Alexander', 'King', '416-123-3457', 'alexander.king@vetclinic.com', null, null)
INTO vets VALUES (1018, 'Abigail', 'Wright', '647-123-8902', 'abigail.wright@vetclinic.com', null, null)
